,latitude,longitude,so,thetao
2022-06-04 13:00:00,36.520832,-2.458332,37.401386,18.363276
2022-06-04 14:00:00,36.520832,-2.458332,37.402958,18.388882
2022-06-04 15:00:00,36.520832,-2.458332,37.40382,18.399908
2022-06-04 16:00:00,36.520832,-2.458332,37.403877,18.397491
2022-06-04 17:00:00,36.520832,-2.458332,37.40347,18.386923
2022-06-04 18:00:00,36.520832,-2.458332,37.403114,18.37522
2022-06-04 19:00:00,36.520832,-2.458332,37.403385,18.363459
2022-06-04 20:00:00,36.520832,-2.458332,37.404606,18.355623
2022-06-04 21:00:00,36.520832,-2.458332,37.40631,18.35328
2022-06-04 22:00:00,36.520832,-2.458332,37.40771,18.357574
2022-06-04 23:00:00,36.520832,-2.458332,37.40851,18.370409
2022-06-05 00:00:00,36.520832,-2.458332,37.40044,18.399347
2022-06-05 01:00:00,36.520832,-2.458332,37.40347,18.41653
2022-06-05 02:00:00,36.520832,-2.458332,37.404568,18.429592
2022-06-05 03:00:00,36.520832,-2.458332,37.405598,18.43668
2022-06-05 04:00:00,36.520832,-2.458332,37.40661,18.436346
2022-06-05 05:00:00,36.520832,-2.458332,37.40751,18.430664
2022-06-05 06:00:00,36.520832,-2.458332,37.408466,18.428972
2022-06-05 07:00:00,36.520832,-2.458332,37.409977,18.437668
2022-06-05 08:00:00,36.520832,-2.458332,37.41233,18.45987
2022-06-05 09:00:00,36.520832,-2.458332,37.41555,18.497215
2022-06-05 10:00:00,36.520832,-2.458332,37.41952,18.547146
2022-06-05 11:00:00,36.520832,-2.458332,37.42396,18.606524
2022-06-05 12:00:00,36.520832,-2.458332,37.42804,18.674562
2022-06-05 13:00:00,36.520832,-2.458332,37.43079,18.754366
2022-06-05 14:00:00,36.520832,-2.458332,37.431923,18.843466
2022-06-05 15:00:00,36.520832,-2.458332,37.43175,18.933523
2022-06-05 16:00:00,36.520832,-2.458332,37.43074,19.014866
2022-06-05 17:00:00,36.520832,-2.458332,37.429268,19.072348
2022-06-05 18:00:00,36.520832,-2.458332,37.427814,19.090195
2022-06-05 19:00:00,36.520832,-2.458332,37.427013,19.074434
2022-06-05 20:00:00,36.520832,-2.458332,37.427303,19.051071
2022-06-05 21:00:00,36.520832,-2.458332,37.42887,19.030937
2022-06-05 22:00:00,36.520832,-2.458332,37.431015,19.006086
2022-06-05 23:00:00,36.520832,-2.458332,37.43297,18.977043
2022-06-06 00:00:00,36.520832,-2.458332,37.422768,18.965204
2022-06-06 01:00:00,36.520832,-2.458332,37.42605,18.936039
2022-06-06 02:00:00,36.520832,-2.458332,37.42874,18.911785
2022-06-06 03:00:00,36.520832,-2.458332,37.43063,18.892868
2022-06-06 04:00:00,36.520832,-2.458332,37.43159,18.87853
2022-06-06 05:00:00,36.520832,-2.458332,37.43143,18.865604
2022-06-06 06:00:00,36.520832,-2.458332,37.430046,18.871685
2022-06-06 07:00:00,36.520832,-2.458332,37.427555,18.919025
2022-06-06 08:00:00,36.520832,-2.458332,37.42431,19.019861
2022-06-06 09:00:00,36.520832,-2.458332,37.42084,19.168964
2022-06-06 10:00:00,36.520832,-2.458332,37.41772,19.352076
2022-06-06 11:00:00,36.520832,-2.458332,37.415287,19.551868
2022-06-06 12:00:00,36.520832,-2.458332,37.41355,19.738733
2022-06-06 13:00:00,36.520832,-2.458332,37.41219,19.884855
2022-06-06 14:00:00,36.520832,-2.458332,37.41102,19.990631
2022-06-06 15:00:00,36.520832,-2.458332,37.41032,20.081331
2022-06-06 16:00:00,36.520832,-2.458332,37.410206,20.169619
