time,Tts_h_t,Tts_h_m,Tts_h_b,Tts_c_t,Tts_c_m,Tts_c_b,Tamb,m_ts_src,FT-AQU-100,Tts_t_in,Tts_b_in,m_ts_dis,TT-AQU-106,TT-SF-007,ZT-AQU-TCV102
2023-07-08 10:29:00,90.99483000000001,88.66159999999999,83.70918,83.89483666666666,84.32070666666667,84.43048333333333,32.69844,136.18226666666666,0.010814530999999999,92.41460666666667,44.00721333333333,0.009372709333333333,75.32913333333333,83.49010333333334,100.0
2023-07-08 10:29:30,91.00442333333334,88.72462333333333,83.71603333333333,83.89405666666667,84.31812,84.47396666666667,32.879623333333335,135.77519999999998,0.0108507,92.49037333333334,44.02528666666667,0.009386443999999999,74.71526,83.56434333333333,100.0
2023-07-08 10:30:00,91.04599333333334,88.80408000000001,83.71322,83.89534333333333,84.31622,84.5313,32.95206666666667,136.05903333333333,0.0108507,92.55147333333333,44.077313333333336,0.009310913,74.58581000000001,83.59486666666666,100.0
2023-07-08 10:30:30,91.05945,88.84693333333333,83.70773333333334,83.88852666666666,84.31149333333333,84.51641333333333,33.01091666666667,136.23816666666667,0.0108507,92.61849666666667,44.24083333333333,0.009274294333333332,74.55007666666667,83.60591,100.0
2023-07-08 10:31:00,91.14334666666667,88.92886333333333,83.69956333333333,83.87834,84.31035,84.4994,33.03438333333334,136.0514,0.0108507,92.70516,44.263436666666664,0.009140015333333333,74.13519666666666,83.57340666666667,100.0
2023-07-08 10:31:30,91.11394333333332,88.96433,83.70359666666667,83.8687,84.30798,84.4994,32.97040666666667,136.1215,0.0108507,92.73422333333333,44.30052333333333,0.009227754333333334,74.25142333333334,83.54593,100.0
2023-07-08 10:32:00,91.12513333333332,89.09648,83.70627666666665,83.86526333333333,84.30608666666667,84.50046333333333,32.94627666666666,135.8928,0.0108507,92.78101333333333,44.38509666666666,0.009302523,73.74942333333334,83.60010333333334,100.0
2023-07-08 10:32:30,91.14816,89.22763333333333,83.70985999999999,83.86683333333333,84.29886666666667,84.51854,32.981653333333334,136.24123333333333,0.0108507,92.77096,44.37365333333333,0.009214785,73.59492333333333,83.56053333333332,100.0
2023-07-08 10:33:00,91.21393666666667,89.24985,83.71322666666667,83.86534333333334,84.29762000000001,84.53023666666667,32.96711333333334,135.97056666666666,0.0108507,92.77512666666667,44.388596666666665,0.009324642999999999,73.57709666666666,83.55347333333334,100.0
2023-07-08 10:33:30,91.26724333333333,89.27711,83.72206666666666,83.86366666666666,84.29172666666666,84.5313,32.879756666666665,136.01646666666667,0.0108507,92.83462333333334,44.451903333333334,0.009471891333333335,73.19133666666667,83.56412333333333,100.0
2023-07-08 10:34:00,91.24821333333333,89.33274666666667,83.72910666666667,83.86266666666667,84.28878666666667,84.51322333333333,32.70456,135.81773333333334,0.0108507,92.88171000000001,44.456199999999995,0.009299469,73.27310000000001,83.55976000000001,100.0
2023-07-08 10:34:30,91.22402333333334,89.55344,83.7291,83.86367,84.28878,84.51218666666666,32.594123333333336,135.94946666666667,0.0108507,92.88378666666668,44.544626666666666,0.009053040666666668,73.11689,83.54841666666667,100.0
2023-07-08 10:35:00,91.26822333333332,89.66172,83.72709333333333,83.86143999999999,84.28496,84.48138999999999,32.57859333333333,135.72156666666666,0.0108507,92.88683666666667,44.49271,0.009311674333333332,72.76701,83.54208,100.0
2023-07-08 10:35:30,91.30744333333334,89.66569,83.72988000000001,83.85976333333333,84.28439999999999,84.5313,32.59858666666666,135.85083333333333,0.0108507,92.88716333333333,44.55506333333334,0.009692383,72.77373333333334,83.54887333333333,100.0
