,time,FT-DES-003,PK-MED-E01-pa,vfd_prod_power,PK-MED-E02-pa,FT-DES-002,vfd_sw_power,vfd_brine_power,PK-MED-E03-pa,vfd_sw_out_freq,FT-DES-005,FT-DES-002_VFD
377,2022-11-23 14:57:23,0.011806488037109375,13.0,0.0,8.0,-7.499990940093994,0.019600000232458115,0.0,6411.0,30.0,0.00093841552734375,14.23091983795166
378,2022-11-23 14:57:24,0.0121307373046875,13.0,0.0,8.0,-7.499972820281982,0.019200000911951065,0.0,6411.0,30.0,0.00093841552734375,11.366669654846191
379,2022-11-23 14:57:25,0.011806488037109375,13.0,0.0,8.0,-7.4999542236328125,0.019200000911951065,0.0,1778.0,30.0,0.00093841552734375,11.366669654846191
380,2022-11-23 14:57:26,0.0124359130859375,13.0,0.0,8.0,-7.499990940093994,0.019600000232458115,0.0,1778.0,30.0,0.00106048583984375,11.061149597167969
381,2022-11-23 14:57:27,0.0121307373046875,13.0,0.0,8.0,-7.499990940093994,0.019600000232458115,0.0,1778.0,30.0,0.00106048583984375,11.061149597167969
382,2022-11-23 14:57:28,0.0121307373046875,13.0,0.0,8.0,-7.499981880187988,0.019600000232458115,0.0,1778.0,30.0,0.00106048583984375,11.061149597167969
383,2022-11-23 14:57:29,0.011806488037109375,14.0,0.0,8.0,-7.499981880187988,0.019600000232458115,0.0,1776.0,30.0,0.00093841552734375,10.946579933166504
384,2022-11-23 14:57:30,0.011806488037109375,14.0,0.0,8.0,-7.499990940093994,0.01979999989271164,0.0,1776.0,30.0,0.00093841552734375,10.946579933166504
385,2022-11-23 14:57:31,0.0121307373046875,14.0,0.0,8.0,-7.4999542236328125,0.01979999989271164,0.0,1776.0,30.0,0.00093841552734375,10.946579933166504
386,2022-11-23 14:57:32,0.0121307373046875,14.0,0.0,8.0,-7.500018119812012,0.01979999989271164,0.0,1776.0,30.0,0.00093841552734375,10.946579933166504
387,2022-11-23 14:57:33,0.011806488037109375,13.0,0.0,8.0,-7.499990940093994,0.01979999989271164,0.0,1776.0,30.0,0.00106048583984375,10.946579933166504
388,2022-11-23 14:57:34,0.0121307373046875,13.0,0.0,8.0,-7.5,0.019700000062584877,0.0,1777.0,30.0,0.00106048583984375,10.984769821166992
389,2022-11-23 14:57:35,0.0121307373046875,13.0,0.0,8.0,-7.5,0.019700000062584877,0.0,1777.0,30.0,0.00093841552734375,10.984769821166992
390,2022-11-23 14:57:36,0.0121307373046875,14.0,0.0,8.0,-7.499972820281982,0.01979999989271164,0.0,1777.0,30.0,0.00093841552734375,10.946579933166504
391,2022-11-23 14:57:37,0.0121307373046875,14.0,0.0,8.0,-7.500009059906006,0.01979999989271164,0.0,1784.0,30.0,0.00093841552734375,10.908390045166016
392,2022-11-23 14:57:38,0.0121307373046875,14.0,0.0,8.0,-7.4999542236328125,0.020099999383091927,0.0,1784.0,30.0,0.00093841552734375,10.908390045166016
393,2022-11-23 14:57:39,0.011806488037109375,14.0,0.0,8.0,-7.499963283538818,0.020099999383091927,0.0,1784.0,30.0,0.00093841552734375,10.908390045166016
394,2022-11-23 14:57:40,0.0121307373046875,14.0,0.0,8.0,-7.499990940093994,0.01979999989271164,0.0,1784.0,30.0,0.00093841552734375,10.984769821166992
395,2022-11-23 14:57:41,0.011806488037109375,13.0,0.0,8.0,-7.500009059906006,0.01979999989271164,0.0,1784.0,30.0,0.00106048583984375,10.984769821166992
396,2022-11-23 14:57:42,0.011806488037109375,13.0,0.0,8.0,-7.499990940093994,0.01979999989271164,0.0,1773.0,30.0,0.00093841552734375,10.984769821166992
397,2022-11-23 14:57:43,0.0121307373046875,13.0,0.0,8.0,-7.499981880187988,0.019600000232458115,0.0,1773.0,30.0,0.00106048583984375,11.061149597167969
398,2022-11-23 14:57:44,0.0121307373046875,13.0,0.0,8.0,-7.499972820281982,0.01940000057220459,0.0,1773.0,30.0,0.00106048583984375,11.02295970916748
399,2022-11-23 14:57:45,0.011806488037109375,13.0,0.0,8.0,-7.499990940093994,0.01940000057220459,0.0,1773.0,30.0,0.00093841552734375,11.02295970916748
400,2022-11-23 14:57:46,0.011806488037109375,13.0,0.0,8.0,-7.499972820281982,0.019200000911951065,0.0,1777.0,30.0,0.00106048583984375,10.984769821166992
401,2022-11-23 14:57:47,0.0121307373046875,13.0,0.0,8.0,-7.499990940093994,0.019200000911951065,0.0,1777.0,30.0,0.00081634521484375,10.984769821166992
402,2022-11-23 14:57:48,0.011806488037109375,13.0,0.0,8.0,-7.499972820281982,0.019600000232458115,0.0,1777.0,30.0,0.00106048583984375,10.984769821166992
403,2022-11-23 14:57:49,0.0121307373046875,13.0,0.0,8.0,-7.499990940093994,0.019600000232458115,0.0,1777.0,30.0,0.00093841552734375,10.984769821166992
404,2022-11-23 14:57:50,0.0121307373046875,13.0,0.0,7.0,-7.499990940093994,0.019600000232458115,0.0,1782.0,30.0,0.00093841552734375,10.984769821166992
405,2022-11-23 14:57:51,0.0121307373046875,13.0,0.0,7.0,-7.499981880187988,0.019899999722838402,0.0,1782.0,30.0,0.00093841552734375,10.946579933166504
406,2022-11-23 14:57:52,0.011806488037109375,13.0,0.0,7.0,-7.499981880187988,0.01940000057220459,0.0,1782.0,30.0,0.00106048583984375,10.908390045166016
407,2022-11-23 14:57:53,0.0121307373046875,13.0,0.0,7.0,-7.4999542236328125,0.01940000057220459,0.0,1782.0,30.0,0.00106048583984375,10.908390045166016
408,2022-11-23 14:57:54,0.0121307373046875,13.0,0.0,7.0,-7.499936103820801,0.019500000402331352,0.0,1780.0,30.0,0.00081634521484375,10.908390045166016
409,2022-11-23 14:57:55,0.011806488037109375,13.0,0.0,7.0,-7.499990940093994,0.019500000402331352,0.0,1780.0,30.0,0.00093841552734375,10.984769821166992
410,2022-11-23 14:57:56,0.011806488037109375,13.0,0.0,7.0,-7.499990940093994,0.019600000232458115,0.0,1780.0,30.0,0.00093841552734375,10.984769821166992
411,2022-11-23 14:57:57,0.0121307373046875,13.0,0.0,8.0,-7.499990940093994,0.019600000232458115,0.0,1780.0,30.0,0.00093841552734375,10.984769821166992
412,2022-11-23 14:57:58,0.0121307373046875,13.0,0.0,8.0,-7.499981880187988,0.019600000232458115,0.0,1780.0,30.0,0.00093841552734375,10.984769821166992
413,2022-11-23 14:57:59,0.0121307373046875,13.0,0.0,8.0,-7.5,0.019500000402331352,0.0,1779.0,30.0,0.00106048583984375,10.870200157165527
414,2022-11-23 14:58:00,0.0121307373046875,13.0,0.0,8.0,-7.499981880187988,0.019500000402331352,0.0,1779.0,30.0,0.00093841552734375,10.870200157165527
415,2022-11-23 14:58:01,0.011806488037109375,12.0,0.0,8.0,-7.499990940093994,0.019200000911951065,0.0,1779.0,30.0,0.00106048583984375,10.870200157165527
416,2022-11-23 14:58:02,0.011806488037109375,12.0,0.0,7.0,-7.499963283538818,0.019600000232458115,0.0,1777.0,30.0,0.00106048583984375,10.870200157165527
417,2022-11-23 14:58:03,0.011806488037109375,12.0,0.0,7.0,-7.500009059906006,0.019600000232458115,0.0,1777.0,30.0,0.00118255615234375,10.870200157165527
